bogossstory	BogossStory	L'aventure rocambolesque de John Bogoss.../nl'homme le plus moche du monde !	Aventure/RPG	Démo 5 heures	Windows	Jouable sur navigateur
almost-heroic	Almost Heroic	Le jeu où tu es presque un héros !/nParticipation au Ludum Dare 33/n(theme: "you are the monster")	Aventure/RPG	Jeu complet 20 min	Windows
decadence	Décadence	Mon tout premier projet de jeu-vidéo./nUn RPG classique à la japonaise	RPG	Démo 20 min	Windows	Jouable sur navigateur
le-ruban-ecarlate	Le Ruban Écarlate	Une brève histoire d’amour sans texte, à travers une chaîne de métaphores visuelles.	Point&Click	Démo 15 min	Windows
bilou-adventure	Bilou Adventure	L'aventure d'un champi bilouteux ?/nAh si je savais faire du level-design de platformer... y'aurait pas que trois niveaux.	Platformer	Démo 5 min	Multiplateforme	Jouable sur navigateur
geranium-s-kwest	Geranium's Kwest	Vivez la fabuleuse histoire du... Géranium !	Aventure/RPG	Jeu complet 15 min	Windows
bilouconcepts	BilouConcepts	Ne vous attendez pas à des jeux.../nCe sont juste des prototypes !	Prototypes
vaisseau-3d	Vaisseau 3D	Démonstration qu'on peut faire de la fausse 3D avec RPG Maker 2003./n(c'est fun et tricky)	Simulation	Prototype	Windows	Jouable sur navigateur
super-chicken-bros	Super Chicken Bros	Démonstration du moyen vraiment le plus simple de faire un jeu de plateforme sur RPG Maker 2003./n(mais nul)	Platformer	Prototype	Windows
gravitactic	Gravitactic	Démonstration qu'on peut faire un truc sympa à gravité omni-directionnelle avec RPG Maker 2003./nDevenez Graviton !	Puzzle	Prototype	Windows
super-newton-bros	Super Newton Bros	Démonstration qu'on peut faire un vrai jeu de plateforme, précis avec RPG Maker 2003./n(qui prend en compte la map de base)	Platformer	Prototype	Windows
bilou-3d	Bilou 3D	Démonstration qu'on peut faire un jeu de plateforme super bilouteux en 2D isométrique avec RPG Maker 2003./n(mais c'est hardcore)	Platformer	Prototype	Windows
le-jeu-de-la-vie	Le jeu de la vie	Démonstration qu'on peut faire le jeu de la vie, l'automate cellulaire truc de John Horton Conway en 1970 là, sur RPG Maker 2003./n(ça sert à rien)	Simulateur	Prototype	Windows
deplacements-cbs	Déplacements CBS	Démonstration que RPG Maker 2003 était quand-même limité à l'époque./n(ça lague trop :'( )/n(c'est optimisable aujourd'hui avec la version Steam, mais bon...)	RPG/Système	Prototype	Windows